Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.0,,Insert,1943512,0,A,100,3347,G,
0.0,,Insert,1877497,0,B,100,3296,G,
0.0,,Insert,1972338,0,A,100,3343,G,
0.0,,Insert,1870068,0,B,500,3294,G,
0.0,,Insert,1608257,0,B,200,3312,G,
0.0,,Insert,1699314,0,B,3000,3304,G,
0.0,,Insert,1751774,0,B,200,3311,G,
0.0,,Insert,1731110,0,B,1000,3300,G,
0.0,,Insert,1788581,0,A,200,3369,G,
0.0,,Insert,1870269,0,B,2000,3295,G,
0.0,,Insert,1682950,0,B,200,3292,G,
0.0,,Insert,1927745,0,A,1000,3373,G,
0.0,,Insert,1912876,0,B,100,3313,G,
0.0,,Insert,1832335,0,A,500,3361,G,
0.0,,Insert,1742742,0,B,100,3297,G,
0.0,,Insert,1623257,0,A,1200,3349,G,
0.0,,Insert,1694321,0,B,200,3312,G,
0.0,,Insert,1864545,0,B,200,3295,G,
0.0,,Insert,1578489,0,A,500,3359,G,
0.0,,Insert,1632278,0,A,200,3349,G,
0.0,,Insert,1865894,0,B,200,3295,G,
0.0,,Insert,1907640,0,A,100,3329,G,
0.0,,Insert,1717301,0,A,200,3355,G,
0.0,,Insert,1713670,0,A,200,3355,G,
0.0,,Insert,1914860,0,A,200,3357,G,
0.0,,Insert,1754014,0,A,100,3344,G,
0.0,,Insert,1944334,0,B,100,3299,G,
0.0,,Insert,1817741,0,B,200,3310,G,
0.0,,Insert,1631325,0,A,1200,3345,G,
0.0,,Insert,1750764,0,A,200,3353,G,
0.0,,Insert,1669377,0,A,100,3347,G,
0.0,,Insert,1916084,0,B,100,3301,G,
0.0,,Insert,1833288,0,A,800,3369,G,
0.0,,Insert,1787655,0,A,1000,3332,G,
0.0,,Insert,1854841,0,B,200,3294,G,
0.0,,Insert,1966588,0,A,600,3360,G,
0.0,,Insert,1766632,0,B,2300,3303,G,
0.0,,Insert,1903300,0,A,100,3333,G,
0.0,,Insert,1644186,0,B,100,3305,G,
0.0,,Insert,1869392,0,B,100,3313,G,
0.0,,Insert,1761596,0,B,100,3299,G,
0.0,,Insert,1767436,0,A,100,3348,G,
0.0,,Insert,1726354,0,B,500,3302,G,
0.0,,Insert,1884769,0,B,1200,3294,G,
0.0,,Insert,1584750,0,A,400,3358,G,
0.0,,Insert,1897266,0,A,800,3359,G,
0.0,,Insert,1864740,0,B,100,3307,G,
0.0,,Insert,1875564,0,A,200,3351,G,
0.0,,Insert,1788138,0,B,1000,3310,G,
0.0,,Insert,1983381,0,A,100,3318,G,
0.0,,Insert,1872103,0,A,500,3325,G,
0.0,,Insert,1620199,0,B,200,3312,G,
0.0,,Insert,1716196,0,B,500,3302,G,
0.0,,Insert,1871410,0,B,400,3312,G,
0.0,,Insert,1614246,0,A,1000,3373,G,
0.0,,Insert,1828100,0,A,500,3361,G,
0.0,,Insert,1953036,0,A,200,3358,G,
0.0,,Insert,1943880,0,A,400,3321,G,
0.0,,Insert,1831254,0,B,400,3297,G,
0.0,,Insert,1584329,0,A,100,3331,G,
0.0,,Insert,1808113,0,B,100,3293,G,
0.0,,Insert,1871524,0,B,100,3299,G,
0.0,,Insert,1610331,0,A,200,3353,G,
0.0,,Insert,1762288,0,A,200,3316,G,
0.0,,Insert,1635165,0,B,100,3303,G,
0.0,,Insert,1947007,0,B,200,3292,G,
0.0,,Insert,1781334,0,A,100,3353,G,
0.0,,Insert,1590210,0,A,800,3333,G,
0.0,,Insert,1813775,0,A,100,3371,G,
0.0,,Insert,1650304,0,A,200,3351,G,
0.0,,Insert,1825265,0,A,1200,3361,G,
0.0,,Insert,1685390,0,A,100,3353,G,
0.0,,Insert,1844683,0,A,100,3347,G,
0.0,,Insert,1929101,0,A,100,3343,G,
0.0,,Insert,1840596,0,A,100,3331,G,
0.0,,Insert,1831578,0,B,1000,3298,G,
0.0,,Insert,1667952,0,A,100,3325,G,
0.0,,Insert,1708254,0,B,200,3292,G,
0.0,,Insert,1749983,0,A,500,3328,G,
0.0,,Insert,1707976,0,A,600,3369,G,
0.0,,Insert,1926056,0,A,100,3351,G,
0.0,,Insert,1645238,0,A,100,3349,G,
0.0,,Insert,1578431,0,A,600,3368,G,
0.0,,Insert,1939924,0,A,1000,3370,G,
0.0,,Insert,1905098,0,A,100,3346,G,
0.0,,Insert,1853073,0,B,100,3295,G,
0.0,,Insert,1748914,0,A,100,3345,G,
0.0,,Insert,1969316,0,B,100,3301,G,
0.0,,Insert,1918911,0,A,1000,3357,G,
0.0,,Insert,1588953,0,A,800,3365,G,
0.0,,Insert,1703215,0,A,100,3361,G,
0.0,,Insert,1642175,0,A,1000,3369,G,
0.0,,Insert,1723425,0,B,100,3310,G,
0.0,,Insert,1680415,0,A,100,3375,G,
0.0,,Insert,1975845,0,A,100,3342,G,
0.0,,Insert,1793806,0,B,100,3301,G,
0.0,,Insert,1784116,0,A,500,3321,G,
0.0,,Insert,1893361,0,A,200,3353,G,
0.0,,Insert,1690640,0,A,200,3353,G,
0.0,,Insert,1895563,0,A,1000,3361,G,
0.0,,Insert,1828834,0,B,100,3295,G,
0.0,,Insert,1737855,0,B,200,3311,G,
0.0,,Insert,1986815,0,A,100,3358,G,
0.0,,Insert,1813766,0,A,500,3320,G,
0.0,,Insert,1973333,0,A,100,3329,G,
0.0,,Insert,1921463,0,B,500,3305,G,
0.0,,Insert,1836408,0,A,100,3319,G,
0.0,,Insert,1966964,0,B,200,3312,G,
0.0,,Insert,1933517,0,B,1000,3298,G,
0.0,,Insert,1941113,0,B,100,3301,G,
0.0,,Insert,1762360,0,B,200,3312,G,
0.0,,Insert,1606340,0,B,500,3310,G,
0.0,,Insert,1801534,0,B,100,3301,G,
0.0,,Insert,1942887,0,B,100,3309,G,
0.0,,Insert,1753134,0,B,100,3293,G,
0.0,,Insert,1753028,0,B,200,3305,G,
0.0,,Insert,1744005,0,B,1000,3303,G,
0.0,,Insert,1951221,0,A,200,3350,G,
0.0,,Insert,1787996,0,A,100,3343,G,
0.0,,Insert,1976257,0,B,100,3291,G,
0.0,,Insert,1841182,0,A,100,3343,G,
0.0,,Insert,1842978,0,B,600,3312,G,
0.0,,Insert,1692307,0,A,100,3372,G,
0.0,,Insert,1712100,0,A,4000,3329,G,
0.0,,Insert,1692626,0,B,100,3293,G,
0.0,,Insert,1869515,0,B,1500,3307,G,
0.0,,Insert,1665310,0,B,100,3301,G,
0.0,,Insert,1753806,0,B,500,3310,G,
0.0,,Insert,1600015,0,A,100,3365,G,
0.0,,Insert,1882764,0,A,100,3341,G,
0.0,,Insert,1834608,0,A,100,3363,G,
0.0,,Insert,1701516,0,B,100,3310,G,
0.0,,Insert,1594865,0,A,1000,3365,G,
0.0,,Insert,1600146,0,B,200,3310,G,
0.0,,Insert,1621121,0,A,1000,3370,G,
0.0,,Insert,1767794,0,B,100,3299,G,
0.0,,Insert,1639038,0,A,1300,3351,G,
0.0,,Insert,1696044,0,A,100,3337,G,
0.0,,Insert,1791114,0,B,500,3299,G,
0.0,,Insert,1968810,0,A,200,3323,G,
0.0,,Insert,1935223,0,A,100,3344,G,
0.0,,Insert,1958626,0,A,100,3369,G,
0.0,,Insert,1818615,0,A,100,3329,G,
0.0,,Insert,1596311,0,A,300,3337,G,
0.0,,Insert,1708526,0,A,100,3326,G,
0.0,,Insert,1930164,0,B,2000,3310,G,
0.0,,Insert,1911751,0,A,2000,3329,G,
0.0,,Insert,1673406,0,B,100,3307,G,
0.0,,Insert,1886253,0,B,200,3312,G,
0.0,,Insert,1592687,0,A,400,3350,G,
0.0,,Insert,1993631,0,B,200,3295,G,
0.0,,Insert,1922776,0,B,1500,3306,G,
0.0,,Insert,1870560,0,A,500,3327,G,
0.0,,Insert,1866124,0,A,100,3359,G,
0.0,,Insert,1690113,0,A,400,3329,G,
0.0,,Insert,1802790,0,A,400,3354,G,
0.0,,Insert,1887520,0,B,200,3303,G,
0.0,,Insert,1684059,0,A,200,3351,G,
0.0,,Insert,1618487,0,A,500,3357,G,
0.0,,Insert,1771189,0,A,200,3355,G,
0.0,,Insert,1970097,0,A,400,3366,G,
0.0,,Insert,1630963,0,A,100,3359,G,
0.0,,Insert,1754183,0,B,100,3295,G,
0.0,,Insert,1843352,0,A,500,3361,G,
0.0,,Insert,1839736,0,A,200,3353,G,
0.0,,Insert,1581283,0,A,200,3351,G,
0.0,,Insert,1686150,0,B,200,3295,G,
0.0,,Insert,1631858,0,A,500,3373,G,
0.0,,Insert,1602070,0,A,100,3332,G,
0.0,,Insert,1902982,0,A,100,3353,G,
0.0,,Insert,1609255,0,B,100,3297,G,
0.0,,Insert,1660992,0,B,200,3312,G,
0.0,,Insert,1961002,0,B,200,3293,G,
0.0,,Insert,1815058,0,A,100,3339,G,
0.0,,Insert,1591031,0,B,200,3312,G,
0.0,,Insert,1860148,0,A,100,3335,G,
0.0,,Insert,1903378,0,A,200,3317,G,
0.0,,Insert,1578082,0,A,500,3361,G,
0.0,,Insert,1692740,0,A,1200,3357,G,
0.0,,Insert,1892071,0,A,100,3320,G,
