Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss
5e-06,SpreadTrader,Tick,0,0,0,,,0.0,0.0,0.0
5e-06,PriceTrader,Tick,0,0,0,,,0.0,0.0,0.0
5e-06,BaseAutoTrader,Tick,0,0,0,,,0.0,0.0,0.0
0.25367,SpreadTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
0.25367,PriceTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
0.25367,BaseAutoTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
0.503434,SpreadTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
0.503434,PriceTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
0.503434,BaseAutoTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
0.753301,SpreadTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
0.753301,PriceTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
0.753301,BaseAutoTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.000687,SpreadTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.000687,PriceTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.000687,BaseAutoTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.255106,SpreadTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.255106,PriceTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.255106,BaseAutoTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.504022,SpreadTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.504022,PriceTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.504022,BaseAutoTrader,Tick,0,0,0,,3314,0.0,0.0,0.0
1.753347,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
1.753347,PriceTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
1.753347,BaseAutoTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
2.000174,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
2.000174,PriceTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
2.000174,BaseAutoTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
2.251199,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
2.251199,PriceTrader,Tick,0,10,-10,3315,3315,6.63,-1.63,-1.63
2.251199,BaseAutoTrader,Tick,0,10,-10,3315,3315,6.63,-1.63,-1.63
2.502924,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
2.502924,PriceTrader,Tick,0,10,-10,3315,3315,6.63,-1.63,-1.63
2.502924,BaseAutoTrader,Tick,0,10,-10,3315,3315,6.63,-1.63,-1.63
2.750808,SpreadTrader,Tick,0,0,0,3316,3314,0.0,0.0,0.0
2.750808,PriceTrader,Tick,0,10,-10,3316,3314,6.63,-1.63,-21.63
2.750808,BaseAutoTrader,Tick,0,10,-10,3316,3314,6.63,-1.63,-21.63
3.003362,SpreadTrader,Tick,0,0,0,3316,3314,0.0,0.0,0.0
3.003362,PriceTrader,Tick,0,10,-10,3316,3314,6.63,-1.63,-21.63
3.003362,BaseAutoTrader,Tick,0,10,-10,3316,3314,6.63,-1.63,-21.63
3.253083,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
3.253083,PriceTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
3.253083,BaseAutoTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
3.503172,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
3.503172,PriceTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
3.503172,BaseAutoTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
3.751962,SpreadTrader,Tick,0,0,0,3315,3314,0.0,0.0,0.0
3.751962,PriceTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
3.751962,BaseAutoTrader,Tick,0,10,-10,3315,3314,6.63,-1.63,-11.63
4.000725,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
4.000725,PriceTrader,Tick,0,10,-10,3315,3315,6.63,-1.63,-1.63
4.000725,BaseAutoTrader,Tick,0,10,-10,3315,3315,6.63,-1.63,-1.63
4.254234,SpreadTrader,Tick,0,0,0,3316,3315,0.0,0.0,0.0
4.254234,PriceTrader,Tick,10,10,0,3316,3315,13.26,-13.26,-13.26
4.254234,BaseAutoTrader,Tick,10,10,0,3316,3315,13.26,-13.26,-13.26
4.50311,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
4.50311,PriceTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
4.50311,BaseAutoTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
4.753923,SpreadTrader,Tick,0,0,0,3316,3315,0.0,0.0,0.0
4.753923,PriceTrader,Tick,10,10,0,3316,3315,13.26,-13.26,-13.26
4.753923,BaseAutoTrader,Tick,10,10,0,3316,3315,13.26,-13.26,-13.26
5.004343,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
5.004343,PriceTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
5.004343,BaseAutoTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
5.25473,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
5.25473,PriceTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
5.25473,BaseAutoTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
5.504591,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
5.504591,PriceTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
5.504591,BaseAutoTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
5.75025,SpreadTrader,Tick,0,0,0,3315,3315,0.0,0.0,0.0
5.75025,PriceTrader,Tick,10,10,0,3315,3315,13.26,-13.26,-13.26
